Path,Row
102,67
102,83
102,84
93,70
93,71
93,72
93,73
93,89
109,68
109,85
109,86
100,67
100,68
100,69
100,70
100,85
100,86
116,73
116,74
116,79
116,80
116,81
91,71
91,72
91,73
91,74
91,75
91,91
91,92
107,67
107,68
107,69
107,85
107,86
89,71
89,72
89,73
89,74
89,75
89,76
89,87
89,91
98,86
98,87
114,73
114,82
105,66
105,84
96,68
96,69
96,87
96,88
112,68
112,69
112,70
112,71
112,72
112,73
112,85
112,86
103,66
103,67
103,83
103,84
94,70
94,71
94,72
94,88
94,89
110,68
110,69
110,86
101,67
101,68
101,69
101,70
101,84
101,85
92,70
92,71
92,72
92,73
92,74
92,91
108,67
108,68
108,85
108,86
99,86
115,72
115,73
115,81
90,73
90,74
90,75
90,76
90,91
90,92
106,67
106,84
106,85
88,74
88,75
88,76
88,77
88,78
88,79
88,84
88,85
97,67
97,68
97,86
97,87
113,71
113,72
113,73
113,85
104,66
104,67
104,83
104,84
95,69
95,70
95,71
95,88
95,89
111,69
111,70
111,85
111,86
